hf_summer_demo.u_user,hf_summer_demo.duration
5a94fae988095227d0439a01,61
5a619af83dfd886190dc3348,22
59e0c66216543644d5827cde,3
59f4767d5e14b5071fb7b65a,31
59be1a6ed4bbfb078f408307,24
59e847f68f0f6a4e79045bdd,241
595662fc26d6b65292ba42c5,67
5aa00af7ebdf3228f40252cb,4
59dee6623b89753668f18a26,55
5a5f3d5390cb0d79f38c89e1,2
5a71b4f31b158a7082576b92,31
597a141b20131e043966722d,41
5997c1134c8ecc578ac1ab9f,121
5a9533171e04a42882cca49b,60
59b1dac795dc4c227a14305b,8
59ba7bb803fe4a7f70e0052d,43
5aa06d46d6661a0aaa4261b8,107
5a7e7352e0291328a7135519,43
5a17f9b30c5cd1287cac315d,39
59ae2b11f7701a40ffe6501d,62
58f98eca6c422005fad4ad3c,43
59d9fb871fcaad4dbe5d8b3b,86
59e16947399ae106d3ddd8a5,22
5a23d3a686709128843647ad,17
5a900d45e417e028e75c2eb4,4
596a0f3b9779dd05bd58e794,4
58a03389f9829505eac50ab5,26
5a7464dd45723b29d5ad0262,67
59e891b7d1254608fc28536b,193
5a42651630db2d2116e29c8e,28
5890b1db15c01b4633ce09fc,56
58d20c6c0be3bc05efecf0f9,45
5a72b36fe580ad163a7788d9,44
5a1506c5ab97282735c74d50,4
5768bb648dc905a4259063e5,114
5a019d93121a950746b76fdb,1
59afd07e95dc4c227a138e0e,2
5a6ab2d25f64750a8ae3fdc6,80
5a75c922089e5a288cf4d9b1,7
5a66f2fc77890024a0a81e1b,29
59edf5025751450686c8beb6,63
5a69d9d0563f933325e47255,4
59f31a935971080d914ce590,66
590d93f83518f54cec0fb295,50
5a692399563f933325e397c9,237
59a8e2621df7060abe9060b2,51
58b238fe3b431405eb01e14e,94
57d7c46717b73a537875b91e,6
58b5958a65c30705ea6bd7b9,571
59b67d99744f92040f056758,2
5af14e8721f4595d35a9f038,29
599a4bd01eb2c250fdb925ae,25
579ed086233f697605a4d358,3
5a8e3382f35b9226c3465548,107
59ae35d9f7701a40ffe65395,36
5a4740134fffbf25d01d82ef,59
5a5c3f1a78d2ca2838124ecd,2
5a916b5267ac7628384281f5,64
5a6097decdf521289044de86,8
585160ca32b70bc4053b0ac0,75
596cb192dc1917617f0bbbe3,96
59e435a86953017c97df3339,2
5abfb7e3b16749285245636e,63
5a7fdc3cb87dfb28e0915b8a,40
584d2abefc87e5c7054abfd9,99
57d7c783f05d81f2224102cb,32
59b2455ef0d71b0635dc7eaa,146
5a5c91a2101b632641746ae4,127
5a61f8eaae66d51d33fb3648,6
59acf88f4fbf63636c2dd6e6,78
5a6d3fd4f3728a28e7565828,226
57afb5864d224ec13ffc082c,26
5a71a2aded38fd4f1cbecea4,41
59e1ef8065e9e92a729dd07f,101
598299dffa7847043972d014,68
5a65335027106c2ecd90bbd5,5
5a74499b43fbb3147578d0a3,92
5a35467cb4b8d0288f3d2dfb,25
5a47abfcb810802863fb06ea,7
58104267d204dfb61159691d,5
59aca9324fbf63636c2db94d,2
5926f203e3619969503eca96,22
5980fb8f13540e3d8d7376b9,7
58da5be3c061e605fbf8c8fe,26
5a502665c43a6f28f92b929a,226
5a3f746c7fb894225ba96256,18
59e70eee8f0f6a4e7903f6fa,33
59e89bb1034cac0724a4cb41,4
58db928f4aae7805d246ba16,4
5a4391ae6786c9249b29f278,2
5a9020ed11cce528f1382a0f,48
5821a1f66309d3d126ca5d5c,5
5a4477d98d978f2807c0208b,2
57cd763ee4d2d80d7ecd5426,88
5a900bb28a8da234dd9f554f,100
